Date,High,Low,Open,Close,Volume,Adj Close,Name
2021-04-22,225.4600067138672,220.0,224.5399932861328,221.7899932861328,305500,221.7899932861328,IPGP
2021-04-23,229.5800018310547,223.3000030517578,223.3000030517578,227.99000549316406,223400,227.99000549316406,IPGP
2021-04-26,233.7100067138672,227.05999755859375,228.5800018310547,233.50999450683594,239800,233.50999450683594,IPGP
2021-04-27,234.05999755859375,228.0,234.05999755859375,229.9499969482422,263000,229.9499969482422,IPGP
2021-04-28,232.5500030517578,227.33999633789062,229.91000366210938,229.8699951171875,214200,229.8699951171875,IPGP
2021-04-29,232.14999389648438,227.1999969482422,231.30999755859375,231.6699981689453,226600,231.6699981689453,IPGP
2021-04-30,229.1999969482422,216.5500030517578,228.4600067138672,217.11000061035156,517100,217.11000061035156,IPGP
2021-05-03,218.92999267578125,210.9499969482422,218.10000610351562,211.57000732421875,491500,211.57000732421875,IPGP
2021-05-04,209.25999450683594,188.11000061035156,208.27000427246094,189.49000549316406,880300,189.49000549316406,IPGP
2021-05-05,194.11000061035156,186.42999267578125,189.75,189.64999389648438,687200,189.64999389648438,IPGP
2021-05-06,197.61000061035156,187.39999389648438,189.8300018310547,197.3300018310547,637100,197.3300018310547,IPGP
2021-05-07,200.6699981689453,194.89999389648438,197.77000427246094,197.3000030517578,334700,197.3000030517578,IPGP
2021-05-10,196.19000244140625,185.75999450683594,194.72999572753906,187.5,531900,187.5,IPGP
2021-05-11,192.16000366210938,182.14999389648438,183.00999450683594,190.75,414400,190.75,IPGP
2021-05-12,189.8000030517578,185.27999877929688,186.77000427246094,187.5,442000,187.5,IPGP
2021-05-13,194.25999450683594,187.60000610351562,190.7100067138672,190.19000244140625,317900,190.19000244140625,IPGP
2021-05-14,198.2100067138672,189.6699981689453,191.8699951171875,195.80999755859375,344000,195.80999755859375,IPGP
2021-05-17,197.11000061035156,191.47999572753906,193.77999877929688,196.38999938964844,243500,196.38999938964844,IPGP
2021-05-18,197.9499969482422,194.5500030517578,197.89999389648438,194.77000427246094,266500,194.77000427246094,IPGP
2021-05-19,199.85000610351562,189.36000061035156,191.13999938964844,199.1300048828125,285800,199.1300048828125,IPGP
2021-05-20,205.0,198.75,200.0,202.75999450683594,325500,202.75999450683594,IPGP
2021-05-21,207.35000610351562,201.14999389648438,203.2100067138672,203.88999938964844,267400,203.88999938964844,IPGP
2021-05-24,209.74000549316406,204.5500030517578,206.25,207.5399932861328,206500,207.5399932861328,IPGP
2021-05-25,210.72999572753906,206.75,207.77000427246094,208.11000061035156,194800,208.11000061035156,IPGP
2021-05-26,208.47999572753906,204.25999450683594,207.97999572753906,207.1300048828125,175500,207.1300048828125,IPGP
2021-05-27,209.3300018310547,204.72000122070312,205.77999877929688,206.36000061035156,340000,206.36000061035156,IPGP
2021-05-28,210.97000122070312,205.3800048828125,207.0,209.25999450683594,266100,209.25999450683594,IPGP
2021-06-01,210.5,203.82000732421875,210.0,206.27000427246094,311000,206.27000427246094,IPGP
2021-06-02,207.52000427246094,204.02999877929688,205.25999450683594,207.24000549316406,243600,207.24000549316406,IPGP
2021-06-03,205.47000122070312,200.3699951171875,205.47000122070312,200.97999572753906,562900,200.97999572753906,IPGP
2021-06-04,209.77999877929688,202.6199951171875,202.6199951171875,209.07000732421875,245000,209.07000732421875,IPGP
2021-06-07,209.33999633789062,205.30999755859375,208.72000122070312,205.77999877929688,217000,205.77999877929688,IPGP
2021-06-08,208.00999450683594,204.8300018310547,208.00999450683594,205.57000732421875,208800,205.57000732421875,IPGP
2021-06-09,206.22000122070312,202.02999877929688,206.1300048828125,203.1999969482422,187000,203.1999969482422,IPGP
2021-06-10,206.0,200.57000732421875,203.07000732421875,205.2100067138672,259000,205.2100067138672,IPGP
2021-06-11,206.5500030517578,202.94000244140625,205.0,203.60000610351562,205000,203.60000610351562,IPGP
2021-06-14,208.1999969482422,203.22999572753906,204.30999755859375,206.85000610351562,213100,206.85000610351562,IPGP
2021-06-15,207.9199981689453,203.61000061035156,206.61000061035156,207.07000732421875,198900,207.07000732421875,IPGP
2021-06-16,212.38999938964844,202.8300018310547,208.27999877929688,205.72000122070312,356300,205.72000122070312,IPGP
2021-06-17,210.5800018310547,203.6699981689453,205.02000427246094,209.08999633789062,303500,209.08999633789062,IPGP
2021-06-18,209.49000549316406,200.2100067138672,207.32000732421875,203.44000244140625,969000,203.44000244140625,IPGP
2021-06-21,207.17999267578125,202.1699981689453,204.47999572753906,204.41000366210938,268900,204.41000366210938,IPGP
2021-06-22,204.60000610351562,201.39999389648438,203.52999877929688,203.41000366210938,247300,203.41000366210938,IPGP
2021-06-23,208.16000366210938,204.5,204.60000610351562,206.4600067138672,322500,206.4600067138672,IPGP
2021-06-24,211.42999267578125,207.80999755859375,207.80999755859375,210.75,319100,210.75,IPGP
2021-06-25,214.8300018310547,210.0399932861328,211.9199981689453,210.97999572753906,401100,210.97999572753906,IPGP
2021-06-28,214.75999450683594,211.00999450683594,212.9600067138672,212.72000122070312,221400,212.72000122070312,IPGP
2021-06-29,214.52000427246094,211.99000549316406,213.27999877929688,213.77000427246094,156000,213.77000427246094,IPGP
2021-06-30,214.08999633789062,209.19000244140625,214.08999633789062,210.77000427246094,388200,210.77000427246094,IPGP
2021-07-01,211.8800048828125,207.41000366210938,211.61000061035156,210.0,283700,210.0,IPGP
2021-07-02,212.0,207.72999572753906,211.50999450683594,211.19000244140625,254200,211.19000244140625,IPGP
2021-07-06,211.99000549316406,207.49000549316406,211.99000549316406,210.14999389648438,340700,210.14999389648438,IPGP
2021-07-07,212.10000610351562,203.50999450683594,211.94000244140625,207.7100067138672,244400,207.7100067138672,IPGP
2021-07-08,207.32000732421875,199.6199951171875,203.61000061035156,201.3000030517578,327500,201.3000030517578,IPGP
2021-07-09,208.42999267578125,200.72999572753906,201.7899932861328,207.41000366210938,290400,207.41000366210938,IPGP
2021-07-12,210.50999450683594,206.0,207.86000061035156,210.30999755859375,202900,210.30999755859375,IPGP
2021-07-13,210.02999877929688,207.1999969482422,209.9499969482422,207.9600067138672,182400,207.9600067138672,IPGP
2021-07-14,211.97000122070312,207.9199981689453,209.6199951171875,208.88999938964844,183200,208.88999938964844,IPGP
2021-07-15,210.4199981689453,206.36000061035156,208.4499969482422,207.64999389648438,255000,207.64999389648438,IPGP
2021-07-16,210.9600067138672,205.13999938964844,208.42999267578125,205.8800048828125,260900,205.8800048828125,IPGP
2021-07-19,205.3699951171875,200.1699981689453,203.0800018310547,201.86000061035156,334600,201.86000061035156,IPGP
2021-07-20,209.3800048828125,202.41000366210938,203.00999450683594,208.13999938964844,153100,208.13999938964844,IPGP
2021-07-21,214.27999877929688,207.99000549316406,208.86000061035156,214.2100067138672,219900,214.2100067138672,IPGP
2021-07-22,215.0,211.27999877929688,214.39999389648438,212.08999633789062,176700,212.08999633789062,IPGP
2021-07-23,215.47000122070312,211.42999267578125,213.5,215.4600067138672,116300,215.4600067138672,IPGP
2021-07-26,214.97000122070312,212.0,214.89999389648438,212.8300018310547,234900,212.8300018310547,IPGP
2021-07-27,213.94000244140625,196.2899932861328,212.3800048828125,201.32000732421875,364300,201.32000732421875,IPGP
2021-07-28,210.9600067138672,201.41000366210938,201.41000366210938,209.69000244140625,189600,209.69000244140625,IPGP
2021-07-29,214.8000030517578,210.02000427246094,210.27000427246094,214.32000732421875,246100,214.32000732421875,IPGP
2021-07-30,218.5,212.5,213.1699981689453,218.16000366210938,217200,218.16000366210938,IPGP
2021-08-02,220.50999450683594,217.02000427246094,219.64999389648438,217.5,296500,217.5,IPGP
2021-08-03,188.7100067138672,176.6699981689453,180.10000610351562,177.69000244140625,1522900,177.69000244140625,IPGP
2021-08-04,180.99000549316406,175.07000732421875,177.91000366210938,179.8699951171875,761300,179.8699951171875,IPGP
2021-08-05,187.22000122070312,179.91000366210938,180.60000610351562,183.6199951171875,700900,183.6199951171875,IPGP
2021-08-06,183.4600067138672,180.3699951171875,181.00999450683594,181.5500030517578,318700,181.5500030517578,IPGP
2021-08-09,182.33999633789062,177.19000244140625,182.19000244140625,177.77999877929688,286200,177.77999877929688,IPGP
2021-08-10,179.33999633789062,173.57000732421875,178.05999755859375,176.8699951171875,485300,176.8699951171875,IPGP
2021-08-11,177.8699951171875,172.27000427246094,177.39999389648438,173.10000610351562,257600,173.10000610351562,IPGP
2021-08-12,173.2100067138672,169.25,172.63999938964844,169.77999877929688,279500,169.77999877929688,IPGP
2021-08-13,171.7899932861328,167.88999938964844,169.72999572753906,169.1199951171875,262900,169.1199951171875,IPGP
2021-08-16,170.77999877929688,167.52000427246094,168.97999572753906,168.60000610351562,331400,168.60000610351562,IPGP
2021-08-17,170.0,165.64999389648438,166.88999938964844,166.88999938964844,895800,166.88999938964844,IPGP
2021-08-18,168.47999572753906,165.33999633789062,167.1999969482422,165.35000610351562,379200,165.35000610351562,IPGP
2021-08-19,171.17999267578125,163.86000061035156,164.60000610351562,168.1699981689453,719500,168.1699981689453,IPGP
2021-08-20,168.9499969482422,164.8300018310547,168.13999938964844,167.3699951171875,548500,167.3699951171875,IPGP
2021-08-23,169.77000427246094,167.55999755859375,169.02999877929688,168.58999633789062,436400,168.58999633789062,IPGP
2021-08-24,171.00999450683594,168.44000244140625,169.3800048828125,170.3800048828125,462700,170.3800048828125,IPGP
2021-08-25,173.11000061035156,169.97000122070312,170.9199981689453,172.14999389648438,208300,172.14999389648438,IPGP
2021-08-26,172.47999572753906,169.1199951171875,171.86000061035156,169.4499969482422,181000,169.4499969482422,IPGP
2021-08-27,173.6699981689453,169.30999755859375,170.0,172.42999267578125,261900,172.42999267578125,IPGP
2021-08-30,174.0500030517578,171.6300048828125,173.57000732421875,172.0,168400,172.0,IPGP
2021-08-31,172.3300018310547,169.1199951171875,172.14999389648438,170.67999267578125,279400,170.67999267578125,IPGP
2021-09-01,171.77999877929688,168.47000122070312,171.36000061035156,169.83999633789062,193900,169.83999633789062,IPGP
2021-09-02,173.75,169.33999633789062,170.77000427246094,173.36000061035156,232100,173.36000061035156,IPGP
2021-09-03,175.4499969482422,172.2100067138672,173.32000732421875,174.22000122070312,483600,174.22000122070312,IPGP
2021-09-07,177.60000610351562,174.25,174.25,175.58999633789062,375200,175.58999633789062,IPGP
2021-09-08,175.16000366210938,171.05999755859375,174.3699951171875,174.24000549316406,257900,174.24000549316406,IPGP
2021-09-09,176.55999755859375,173.82000732421875,174.33999633789062,174.24000549316406,370000,174.24000549316406,IPGP
2021-09-10,176.16000366210938,172.3000030517578,175.42999267578125,172.49000549316406,146000,172.49000549316406,IPGP
2021-09-13,175.44000244140625,172.5,174.39999389648438,173.55999755859375,207600,173.55999755859375,IPGP
2021-09-14,174.82000732421875,172.82000732421875,174.27000427246094,173.17999267578125,147700,173.17999267578125,IPGP
2021-09-15,174.60000610351562,171.3300018310547,173.1999969482422,172.2899932861328,221200,172.2899932861328,IPGP
2021-09-16,172.5399932861328,169.63999938964844,171.60000610351562,171.72000122070312,199800,171.72000122070312,IPGP
2021-09-17,171.72000122070312,165.3300018310547,170.97000122070312,166.57000732421875,763200,166.57000732421875,IPGP
2021-09-20,164.99000549316406,158.6199951171875,163.69000244140625,161.27000427246094,493900,161.27000427246094,IPGP
2021-09-21,163.39999389648438,160.52999877929688,163.24000549316406,160.66000366210938,219800,160.66000366210938,IPGP
2021-09-22,162.74000549316406,159.00999450683594,162.2100067138672,159.58999633789062,222300,159.58999633789062,IPGP
2021-09-23,163.74000549316406,160.38999938964844,160.5,162.6300048828125,205700,162.6300048828125,IPGP
2021-09-24,165.13999938964844,161.2899932861328,161.6699981689453,164.27000427246094,199700,164.27000427246094,IPGP
2021-09-27,166.5,160.58999633789062,162.97000122070312,164.1999969482422,245000,164.1999969482422,IPGP
2021-09-28,163.14999389648438,159.50999450683594,162.1199951171875,160.99000549316406,198400,160.99000549316406,IPGP
2021-09-29,162.67999267578125,158.6199951171875,161.1999969482422,159.10000610351562,425900,159.10000610351562,IPGP
2021-09-30,162.13999938964844,158.38999938964844,160.0,158.39999389648438,246800,158.39999389648438,IPGP
2021-10-01,164.99000549316406,157.64999389648438,159.27000427246094,161.1199951171875,216900,161.1199951171875,IPGP
2021-10-04,159.72000122070312,152.07000732421875,159.36000061035156,153.19000244140625,325500,153.19000244140625,IPGP
2021-10-05,156.2100067138672,152.75999450683594,153.30999755859375,153.89999389648438,350700,153.89999389648438,IPGP
2021-10-06,154.5800018310547,151.27000427246094,152.0,154.4499969482422,207900,154.4499969482422,IPGP
2021-10-07,159.83999633789062,156.49000549316406,156.63999938964844,158.24000549316406,218000,158.24000549316406,IPGP
2021-10-08,159.8699951171875,158.3699951171875,158.72000122070312,159.52999877929688,155100,159.52999877929688,IPGP
2021-10-11,159.35000610351562,155.42999267578125,155.42999267578125,158.0,203000,158.0,IPGP
2021-10-12,159.6300048828125,156.8300018310547,159.16000366210938,157.25,420100,157.25,IPGP
2021-10-13,158.7100067138672,156.1300048828125,158.35000610351562,157.27999877929688,351500,157.27999877929688,IPGP
2021-10-14,163.9199981689453,158.07000732421875,159.72000122070312,162.64999389648438,299700,162.64999389648438,IPGP
2021-10-15,167.00999450683594,163.0399932861328,163.97000122070312,165.0800018310547,143300,165.0800018310547,IPGP
2021-10-18,164.27999877929688,162.2100067138672,163.42999267578125,163.22000122070312,254100,163.22000122070312,IPGP
2021-10-19,165.00999450683594,162.0800018310547,164.82000732421875,164.13999938964844,215100,164.13999938964844,IPGP
2021-10-20,165.25999450683594,163.38999938964844,164.47999572753906,163.97000122070312,208200,163.97000122070312,IPGP
2021-10-21,164.2899932861328,162.05999755859375,163.52999877929688,164.10000610351562,157100,164.10000610351562,IPGP
2021-10-22,166.13999938964844,161.6199951171875,164.0800018310547,162.02000427246094,188900,162.02000427246094,IPGP
2021-10-25,162.42999267578125,159.2100067138672,162.36000061035156,159.63999938964844,333400,159.63999938964844,IPGP
2021-10-26,160.64999389648438,157.8300018310547,160.64999389648438,158.5,387300,158.5,IPGP
2021-10-27,160.42999267578125,156.41000366210938,158.7899932861328,157.00999450683594,487100,157.00999450683594,IPGP
2021-10-28,160.49000549316406,157.64999389648438,157.6999969482422,159.0,235800,159.0,IPGP
2021-10-29,159.55999755859375,157.1999969482422,157.75,159.00999450683594,312700,159.00999450683594,IPGP
2021-11-01,163.94000244140625,159.0399932861328,159.1999969482422,163.25999450683594,319400,163.25999450683594,IPGP
2021-11-02,180.5399932861328,161.25,163.8000030517578,177.33999633789062,790100,177.33999633789062,IPGP
2021-11-03,177.25999450683594,173.0800018310547,176.42999267578125,175.66000366210938,620400,175.66000366210938,IPGP
2021-11-04,172.82000732421875,168.0,172.66000366210938,168.97000122070312,563400,168.97000122070312,IPGP
2021-11-05,173.17999267578125,169.58999633789062,171.2899932861328,171.36000061035156,294500,171.36000061035156,IPGP
2021-11-08,173.25,170.1999969482422,172.61000061035156,170.4199981689453,167700,170.4199981689453,IPGP
