Date,High,Low,Open,Close,Volume,Adj Close,Name
2021-04-22,150.3000030517578,147.25999450683594,150.22999572753906,147.3699951171875,15256100.0,144.78013610839844,JPM
2021-04-23,151.1300048828125,146.69000244140625,147.17999267578125,150.19000244140625,14041900.0,147.5505828857422,JPM
2021-04-26,152.4600067138672,150.3800048828125,150.77999877929688,150.55999755859375,10799100.0,147.91407775878906,JPM
2021-04-27,151.57000732421875,150.11000061035156,150.5,151.25,12821200.0,148.59194946289062,JPM
2021-04-28,152.88999938964844,151.39999389648438,152.42999267578125,152.22999572753906,8943700.0,149.55471801757812,JPM
2021-04-29,155.27999877929688,153.1999969482422,153.5399932861328,155.19000244140625,12976900.0,152.46273803710938,JPM
2021-04-30,154.49000549316406,153.00999450683594,154.10000610351562,153.80999755859375,11705100.0,151.10696411132812,JPM
2021-05-03,155.47999572753906,153.1300048828125,154.85000610351562,153.36000061035156,11801100.0,150.66488647460938,JPM
2021-05-04,155.63999938964844,152.13999938964844,152.8699951171875,155.47999572753906,12977700.0,152.7476043701172,JPM
2021-05-05,158.27999877929688,154.6300048828125,156.0,157.52000427246094,10506700.0,154.7517852783203,JPM
2021-05-06,160.82000732421875,157.16000366210938,158.07000732421875,160.69000244140625,13542400.0,157.86607360839844,JPM
2021-05-07,161.5,157.02000427246094,157.22000122070312,161.24000549316406,14257800.0,158.40638732910156,JPM
2021-05-10,163.72999572753906,161.1199951171875,161.5,161.22000122070312,14014300.0,158.38674926757812,JPM
2021-05-11,162.38999938964844,158.0399932861328,161.0800018310547,158.5399932861328,15451700.0,155.7538299560547,JPM
2021-05-12,160.77999877929688,157.02999877929688,159.61000061035156,157.4499969482422,14381700.0,154.68299865722656,JPM
2021-05-13,162.4499969482422,157.67999267578125,158.17999267578125,161.5,15395000.0,158.6618194580078,JPM
2021-05-14,164.4499969482422,161.99000549316406,162.38999938964844,164.00999450683594,10584000.0,161.12770080566406,JPM
2021-05-17,164.85000610351562,163.02999877929688,163.3699951171875,164.6699981689453,9886800.0,161.776123046875,JPM
2021-05-18,165.5,162.24000549316406,164.67999267578125,162.35000610351562,11098100.0,159.4969024658203,JPM
2021-05-19,161.17999267578125,158.63999938964844,161.0,161.11000061035156,13278900.0,158.2786865234375,JPM
2021-05-20,161.86000061035156,159.52000427246094,160.8300018310547,160.8300018310547,10426000.0,158.0035858154297,JPM
2021-05-21,163.22000122070312,160.94000244140625,161.33999633789062,162.66000366210938,10249000.0,159.8014373779297,JPM
2021-05-24,164.22999572753906,162.1199951171875,163.36000061035156,163.5399932861328,9440300.0,160.6659698486328,JPM
2021-05-25,165.6999969482422,161.55999755859375,163.85000610351562,161.85000610351562,12609100.0,159.0056915283203,JPM
2021-05-26,163.74000549316406,161.30999755859375,163.57000732421875,161.8300018310547,13058300.0,158.98602294921875,JPM
2021-05-27,164.75,162.57000732421875,163.9499969482422,164.35000610351562,15707500.0,161.46176147460938,JPM
