Date,High,Low,Open,Close,Volume,Adj Close,Name
2021-04-22,135.1999969482422,132.7899932861328,133.94000244140625,133.38999938964844,844400.0,133.2229461669922,PKI
2021-04-23,135.10000610351562,132.7899932861328,133.22000122070312,134.97000122070312,607200.0,134.80096435546875,PKI
2021-04-26,135.61000061035156,134.52000427246094,135.50999450683594,134.97999572753906,769200.0,134.81094360351562,PKI
2021-04-27,135.8699951171875,134.63999938964844,135.44000244140625,135.00999450683594,868300.0,134.84091186523438,PKI
2021-04-28,135.0399932861328,132.85000610351562,134.32000732421875,133.88999938964844,567600.0,133.72232055664062,PKI
2021-04-29,134.1300048828125,129.94000244140625,134.0,130.5,1151600.0,130.33656311035156,PKI
2021-04-30,131.4600067138672,128.89999389648438,130.36000061035156,129.6300048828125,1310700.0,129.4676513671875,PKI
2021-05-03,131.97999572753906,129.4600067138672,130.88999938964844,130.55999755859375,1054900.0,130.396484375,PKI
2021-05-04,129.80999755859375,126.75,129.6699981689453,127.80999755859375,1352700.0,127.6499252319336,PKI
2021-05-05,138.10000610351562,130.77999877929688,131.08999633789062,136.57000732421875,2037200.0,136.39895629882812,PKI
2021-05-06,137.60000610351562,134.55999755859375,135.72000122070312,137.5,1305500.0,137.32778930664062,PKI
2021-05-07,141.32000732421875,137.86000061035156,138.0,140.97000122070312,964000.0,140.79344177246094,PKI
2021-05-10,142.2100067138672,139.08999633789062,141.44000244140625,140.0,933200.0,139.82464599609375,PKI
2021-05-11,141.0399932861328,137.1300048828125,137.97000122070312,139.44000244140625,845100.0,139.26536560058594,PKI
2021-05-12,139.8699951171875,137.7100067138672,138.38999938964844,137.86000061035156,677700.0,137.68734741210938,PKI
2021-05-13,141.99000549316406,138.1300048828125,138.89999389648438,141.27000427246094,672400.0,141.0930633544922,PKI
2021-05-14,144.42999267578125,141.22999572753906,141.97999572753906,143.55999755859375,763900.0,143.3802032470703,PKI
2021-05-17,144.8300018310547,143.14999389648438,143.5,143.22999572753906,680000.0,143.0506134033203,PKI
2021-05-18,143.1199951171875,140.77999877929688,142.55999755859375,141.88999938964844,722000.0,141.7122802734375,PKI
2021-05-19,142.85000610351562,140.3000030517578,140.75999450683594,142.6300048828125,526000.0,142.4513702392578,PKI
2021-05-20,148.8699951171875,143.1999969482422,143.38999938964844,147.67999267578125,1113400.0,147.49502563476562,PKI
2021-05-21,149.08999633789062,144.57000732421875,148.35000610351562,144.77000427246094,1636000.0,144.5886993408203,PKI
2021-05-24,146.8699951171875,144.60000610351562,146.3699951171875,144.61000061035156,817600.0,144.42889404296875,PKI
2021-05-25,144.5,142.1999969482422,143.77999877929688,143.10000610351562,889800.0,142.92079162597656,PKI
2021-05-26,144.86000061035156,142.50999450683594,144.64999389648438,143.7100067138672,756600.0,143.53001403808594,PKI
2021-05-27,146.66000366210938,143.33999633789062,143.66000366210938,144.89999389648438,1103400.0,144.718505859375,PKI
2021-05-28,146.97000122070312,144.83999633789062,145.88999938964844,145.07000732421875,507100.0,144.88832092285156,PKI
2021-06-01,145.14999389648438,140.5500030517578,144.77999877929688,141.75999450683594,1051700.0,141.58245849609375,PKI
2021-06-02,141.86000061035156,138.75999450683594,141.4600067138672,139.1699981689453,981800.0,138.99569702148438,PKI
2021-06-03,139.25,137.3699951171875,138.6699981689453,138.61000061035156,464200.0,138.4364013671875,PKI
